day,day_focus,day_notes,section,section_type,exercise,sets,exercise_note,track_1rm
OFF,Recovery · Mobility,,,,,,, 
PUSH,Chest · Shoulders · Triceps,Focus on controlled eccentrics.,Warm-Up,warmup,Bodyweight Dips,2 × 10,Ramp into Bench,
,,,Primary Strength,primary,Barbell Bench Press,4 × 4–6,2–3 min rest,yes
,,,Primary Strength,primary,Overhead Press,3 × 5–6,2 min rest,yes
,,,AR-7 Block — Chest,ar7,Action: Incline DB Press,6–8 reps,7 rounds,
,,,AR-7 Block — Chest,ar7,Reaction: DB Fly,12–15 reps,15–20 sec rest,
,,,Accessories,accessory,Lateral Raises,3 × 12–15,,
PULL,Back · Rear Delts · Biceps,Full scapular retraction on rows.,Warm-Up,warmup,Leg Raises,2 × 10,Then ramp into Pull-Ups,
,,,Primary Strength,primary,Weighted Pull-Ups,4 × 5–6,2 min rest,yes
,,,AR-7 Block — Back,ar7,Action: DB Row,6–8 reps / side,7 rounds,
,,,AR-7 Block — Back,ar7,Reaction: Straight-Arm Pulldown,12–15 reps,Minimal rest,
,,,Finisher,finisher,Farmer Carries,2 × 30–40m,60 sec rest,
LEGS,Quads · Hamstrings · Glutes,Hip mobility warm-up is mandatory.,Warm-Up,warmup,90/90 Hip Switches,2 × 10,,
,,,Primary Strength,primary,Back Squat,4 × 3–5,2–3 min rest,yes
,,,Primary Strength,primary,Romanian Deadlift,3 × 5–6,2 min rest,yes
,,,AR-7 Block — Quad,ar7,Action: Leg Press,6–8 reps,7 rounds,
,,,AR-7 Block — Quad,ar7,Reaction: Sissy Squat,10–12 reps,15–20 sec rest,
ARMS + LEGS,Biceps · Triceps · Unilateral Legs,Arms pre-fatigued from the week.,Warm-Up,warmup,Wrist Circles,2 × 10 each,,
,,,Primary Strength — Triceps,primary,Close-Grip Bench,4 × 5–6,2 min rest,yes
,,,Primary Strength — Biceps,primary,EZ-Bar Curl,4 × 6–8,90 sec rest,,
,,,AR-7 Block — Triceps,ar7,Action: Overhead Cable Ext,8–10 reps,7 rounds,
,,,AR-7 Block — Triceps,ar7,Reaction: Rope Pushdown,12–15 reps,15–20 sec rest,
,,,Unilateral Legs,accessory,Bulgarian Split Squat,3 × 8–10 / leg,90 sec rest,
